Sector_Desc;COD_SEC20;PERCENTIL_SEC20;IDENTIFICADOR;Antiguedad;Total_Activo;Activo_Corriente;Activo_NoCorriente;Total_Pasivo;Pasivo_Corriente;Pasivo_NoCorriente;Fondos_Propios;Importe_CifraNegocios;Gastos_Financieros;Resultado_AntesImpuestos;R_Solvencia;R_Endeudamiento;R_Endeudamiento_CP;R_Autonomia;R_Cobertura_Inmovilizado_FFPP;R_Rentabilidad_Economica;R_Autonomia_Financiera;R_Dependencia_Financiera;R_Gastos_Financieros;R_Rentabilidad_Financiera;R_Rentabilidad_Inversion;R_Resultados_Sobre_Ventas
Agricultura;1;25;125;10;412134;91798;204974;412134;56210;818;76333;55038;140;-20188;0,2874;0,0966;0,0323;0,2011;0,313;-0,0215;0,1679;0,1794;0,001;-0,0274;-0,0509;-0,2322
Agricultura;1;50;150;16;1045757;262011;603369;1045757;199055;80005;390125;178245;3689;3567;0,7213;0,6628;0,3101;0,9272;0,7975;0,0042;0,483;0,517;0,0174;0,0174;0,0078;0,0131
Agricultura;1;75;175;23;2759976;704307;1827301;2759976;509252;389697;1418173;523123;17948;28658;1,5971;2,6595;1,4279;4,4351;1,1911;0,0283;0,8206;0,8321;0,0783;0,0947;0,094;0,1128
Ganaderia y Pesca;2;25;225;9;299880;84838;102048;299880;72895;1230;24339;93923;330;-15949;0,3023;0,1233;0,0516;0,0758;0,1468;-0,0332;0,0713;0,3701;0,0012;-0,0226;-0,0551;-0,1154
Ganaderia y Pesca;2;50;250;16;736246;251269;349995;736246;201049;102356;176500;396022;4790;3020;0,6943;1,05;0,4843;0,4409;0,6069;0,0054;0,3082;0,6918;0,0113;0,0391;0,0085;0,0074
Ganaderia y Pesca;2;75;275;22;1764629;663394;920119;1764629;540008;390924;649721;1067466;17787;25912;1,2324;4,0499;2,0449;1,6879;1,2325;0,0367;0,6299;0,9287;0,0413;0,168;0,0702;0,0519
Energia;3;25;325;7;400005;134553;113792;400005;112856;0;50898;134102;773;-18631;0,2934;0,2028;0,1066;0,107;0,1703;-0,0235;0,0967;0,3517;0,0011;-0,0218;-0,0382;-0,0629
Energia;3;50;350;14;844636;343147;392466;844636;265199;90291;234118;606196;6944;4958;0,7433;1,0417;0,5768;0,473;0,6537;0,0075;0,3211;0,6789;0,0098;0,0458;0,0121;0,0058
Energia;3;75;375;22;2140364;782621;1199583;2140364;584004;485373;797221;2186243;23404;41053;1,5121;3,7573;1,9328;1,843;1,5724;0,0424;0,6483;0,9033;0,0724;0,188;0,0859;0,0649
Construcción;4;25;425;8;241888;84593;37202;241888;63214;529;8146;52667;227;-36962;0,3989;0,0498;0,0094;0,026;0,0857;-0,0593;0,0259;0,4296;0,0014;-0,0697;-0,0931;-0,3417
Construcción;4;50;450;13;676516;281218;189039;676516;193698;88408;118670;190126;4227;-1060;0,8674;1,0087;0,4519;0,3041;0,7012;-0,0017;0,2347;0,7653;0,0179;0,0186;-0,0025;-0,0074
Construcción;4;75;475;19;1867763;942193;676272;1867763;534722;426428;551387;583165;18784;11309;1,3538;4,2206;2,2653;1,305;1,8494;0,018;0,5704;0,9741;0,0881;0,1869;0,0323;0,0383
Promocción Inmobiliaria;4,5;25;4,525;8;795682;175749;72325;795682;51717;79698;40097;14322;1124;-66342;0,3581;0,038;0,0047;0,0285;0,1352;-0,0304;0,0286;0,3326;0,0153;-0,0684;-0,055;-1,5318
Promocción Inmobiliaria;4,5;50;4,550;12;2024871;920607;500415;2024871;257836;538032;375198;66106;12614;-7737;0,9384;0,917;0,1867;0,3334;0,7808;-0,0053;0,2532;0,7468;0,1504;0,0002;-0,0085;-0,1642
Promocción Inmobiliaria;4,5;75;4,575;19;5480350;3216817;1701031;5480350;922166;2099675;1521581;312596;58041;10698;1,4573;5,239;1,3875;1,926;2,2087;0,0068;0,6674;0,9714;0,7288;0,084;0,0143;0,1099
Metalurgia y Maquinaria;5;25;525;9;215404;122386;39413;215404;86916;0;18058;179789;608;-26081;0,5592;0,2376;0,1613;0,0782;0,2106;-0,0692;0,0725;0,4076;0,0018;-0,0659;-0,1034;-0,0953
Metalurgia y Maquinaria;5;50;550;16;513315;292898;147469;513315;201868;50042;125317;446210;4520;1598;0,9584;1,0476;0,6659;0,4537;0,8853;0,0035;0,3121;0,6879;0,0108;0,0331;0,0052;0,0042
Metalurgia y Maquinaria;5;75;575;23;1272777;743845;451952;1272777;479469;228339;488290;1078892;16707;17016;1,6737;3,5707;2,242;1,4536;2,3669;0,028;0,5924;0,9275;0,0304;0,1805;0,0529;0,0269
Fabricación Vehiculos a motor;6;25;625;9;207982;124223;39081;207982;95543;0;15244;192420;405;-24905;0,4952;0,1985;0,1461;0,0547;0,1537;-0,0914;0,0525;0,4262;0,0013;-0,0665;-0,1091;-0,105
Fabricación Vehiculos a motor;6;50;650;17;548560;296740;159598;548560;210566;40714;146281;490232;3984;978;0,9288;1,0742;0,7136;0,465;0,87;0,0026;0,319;0,681;0,008;0,0322;0,0032;0,0026
Fabricación Vehiculos a motor;6;75;675;24;1598965;829260;549504;1598965;517469;245414;562654;1170149;16628;18649;1,6283;3,1826;2,0397;1,3313;2,2247;0,0265;0,5738;0,9475;0,027;0,1791;0,0471;0,023
Química;7;25;725;11;306284;170216;70804;306284;119180;2708;41954;240199;954;-20209;0,5486;0,3238;0,2147;0,1212;0,265;-0,0418;0,1082;0,4116;0,002;-0,0338;-0,0605;-0,0695
Química;7;50;750;18;882811;492376;266890;882811;313514;78854;227765;733548;7322;3529;0,966;1,2156;0,7665;0,501;0,9234;0,0059;0,3357;0,6643;0,0123;0,034;0,0092;0,0064
Química;7;75;775;26;2232211;1227723;893710;2232211;777111;344317;896879;1916624;27750;29861;1,5858;3,9005;2,1777;1,4262;2,1341;0,0317;0,5884;0,8918;0,033;0,1392;0,0666;0,0298
Mat.Construc. Y Transf. Pdtos Minerales;8;25;825;11;365464;177019;115318;365464;132126;5485;23168;159409;903;-129392;0,448;0,0897;0,0559;0,0571;0,1421;-0,1178;0,054;0,3767;0,0032;-0,1682;-0,1985;-0,3304
Mat.Construc. Y Transf. Pdtos Minerales;8;50;850;18;1082043;507551;442747;1082043;342773;130317;248270;464322;7350;-22206;0,8121;0,8169;0,4816;0,4539;0,7083;-0,029;0,3122;0,6878;0,018;-0,0011;-0,0488;-0,0692
Mat.Construc. Y Transf. Pdtos Minerales;8;75;875;25;3055169;1337797;1472742;3055169;865229;527571;1149491;1280005;32220;3995;1,519;3,2068;1,7799;1,6548;1,4756;0,0062;0,6233;0,946;0,0477;0,0878;0,0107;0,0107
Alimentación;9;25;925;10;171222;65437;63315;171222;67174;2090;15780;192214;338;-21425;0,3756;0,1753;0,1186;0,0715;0,1321;-0,0609;0,067;0,4405;0,001;-0,0513;-0,0901;-0,0653
Alimentación;9;50;950;16;483266;203073;212660;483266;186016;70671;103533;464268;3817;1494;0,7349;1,1266;0,6088;0,3923;0,602;0,0035;0,2821;0,7179;0,008;0,031;0,0051;0,0036
Alimentación;9;75;975;22;1388549;682302;623027;1388549;484662;300101;450433;1202033;15797;12595;1,2484;3,5079;2,0083;1,2633;1,334;0,0237;0,5595;0,933;0,0248;0,1465;0,0423;0,0219
Textil y Confección;10;25;1025;10;188572;93810;38484;188572;73772;0;14584;148605;387;-28551;0,5125;0,1534;0,1211;0,0621;0,1682;-0,0824;0,0591;0,4239;0,0015;-0,0544;-0,1103;-0,1338
Textil y Confección;10;50;1050;17;482636;281978;132602;482636;192451;40704;129950;397750;3786;1310;0,9356;1,0374;0,6579;0,4383;0,8466;0,0033;0,3079;0,6921;0,01;0,0291;0,0042;0,0038
Textil y Confección;10;75;1075;25;1315439;756356;384928;1315439;516636;205857;462946;1061380;15789;15549;1,5508;3,1148;1,9673;1,3355;2,3262;0,0243;0,5761;0,9409;0,0311;0,1888;0,0449;0,0237
Cuero, Piel y calzado;11;25;1125;10;193978;132086;18980;193978;105527;0;13026;231455;748;-8080;0,7312;0,3825;0,2888;0,0613;0,2502;-0,0323;0,0578;0,5076;0,0018;0,0082;-0,0478;-0,0321
Cuero, Piel y calzado;11;50;1150;16;509766;355431;71951;509766;239719;24167;102819;611394;5417;4126;1,0361;1,736;1,2343;0,2913;1,1868;0,0106;0,2256;0,7744;0,0105;0,0709;0,0137;0,0078
Cuero, Piel y calzado;11;75;1175;23;1051793;812564;271866;1051793;536565;162096;347541;1607204;22645;22612;1,4421;5,9876;4,3617;0,9699;3,3415;0,0315;0,4924;0,9422;0,0265;0,2342;0,0546;0,0233
Otras Manufacturas;12;25;1225;10;183649;90304;43991;183649;82193;2600;4628;119489;508;-33663;0,4439;0,1134;0,0762;0,0193;0,0451;-0,1006;0,0189;0,5198;0,0024;-0,1032;-0,1257;-0,1789
Otras Manufacturas;12;50;1250;17;432634;217048;156054;432634;190914;64275;72079;302797;4179;-874;0,7595;1,2644;0,7652;0,271;0,544;-0,0023;0,2133;0,7867;0,014;0,0244;-0,0036;-0,0048
Otras Manufacturas;12;75;1275;22;1055426;562502;426422;1055426;455768;231972;297404;757285;15440;7625;1,2293;4,3728;2,6554;0,9224;1,4492;0,0154;0,4802;0,9811;0,0375;0,1954;0,0247;0,0187
Cio. Por mayor pdtos. Industriales;13;25;1325;8;283602;153572;40021;283602;88949;0;35977;186442;368;-16193;0,6546;0,2406;0,1434;0,1221;0,3595;-0,0333;0,1088;0,3648;0,0009;-0,0237;-0,0563;-0,0578
Cio. Por mayor pdtos. Industriales;13;50;1350;15;722071;419802;176301;722071;254953;45388;208810;563207;3917;3782;1,045;1,0331;0,6805;0,538;1,1004;0,0058;0,3503;0,6497;0,0075;0,0349;0,0095;0,0061
Cio. Por mayor pdtos. Industriales;13;75;1375;23;1687309;1049290;519352;1687309;615014;240167;672945;1487117;16176;26339;1,8851;3,457;2,2634;1,734;3,023;0,0334;0,6352;0,8912;0,0259;0,1658;0,0688;0,0344
Cio. Por mayor pdtos consumo y manufacturas;14;25;1425;8;284976;164351;33618;284976;121860;0;22043;285675;315;-11978;0,6444;0,3091;0,2109;0,0673;0,2334;-0,0286;0,0634;0,4801;0,0005;-0,0014;-0,0414;-0,0334
Cio. Por mayor pdtos consumo y manufacturas;14;50;1450;15;663035;430566;142759;663035;307462;45130;140970;812055;3868;3929;0,9901;1,5178;1,0758;0,3191;0,9504;0,007;0,2426;0,7574;0,0052;0,0515;0,0099;0,0052
Cio. Por mayor pdtos consumo y manufacturas;14;75;1475;22;1486128;943480;448645;1486128;684345;217936;472898;1935996;15872;24164;1,4709;4,9456;3,5378;1,0759;2,6238;0,0322;0,5199;0,9366;0,0191;0,2015;0,0569;0,0232
Cio. Por menor;15;25;1525;7;126109;66715;23008;126109;62695;0;-1974;135475;94;-21812;0,4394;-1,1785;-0,3084;-0,0114;-0,0185;-0,0896;-0,011;0,5475;0,0004;-0,0722;-0,1034;-0,0987
Cio. Por menor;15;50;1550;13;297435;165006;81064;297435;151093;24404;41515;315260;1836;174;0,8043;1,1512;0,7371;0,1974;0,5064;0,0007;0,1653;0,8347;0,0054;0,0397;0,0009;0,0007
Cio. Por menor;15;75;1575;20;711894;412554;260070;711894;345753;143952;187682;744823;7414;6460;1,2348;4,8241;3,1338;0,8227;1,6264;0,0197;0,4525;1,011;0,0191;0,231;0,0299;0,0152
Transporte y Comunicaciones;16;25;1625;8;184806;76304;40603;184806;63425;0;16269;141849;182;-19979;0,389;0,1633;0,093;0,0852;0,1665;-0,0572;0,0789;0,396;0,0006;-0,0458;-0,0871;-0,0789
Transporte y Comunicaciones;16;50;1650;13;519964;228765;184915;519964;184778;48925;127773;438125;2984;2174;0,8336;1,0327;0,605;0,4454;0,7383;0,0056;0,3087;0,6913;0,0069;0,0472;0,0085;0,0053
Transporte y Comunicaciones;16;75;1675;20;1309311;631755;577719;1309311;477124;242480;469523;1209638;14007;24885;1,5092;3,3996;2,1237;1,5213;1,8199;0,0468;0,604;0,9211;0,025;0,2359;0,0884;0,0485
Hosteleria, Turismo y Ocio;17;25;1725;5;80717;22972;30541;80717;34155;0;-20132;118186;34;-28881;0,1472;-2,0132;-1,2612;-0,1262;-0,2259;-0,1438;-0,1426;0,5307;0,0002;-0,101;-0,1535;-0,1473
Hosteleria, Turismo y Ocio;17;50;1750;10;207982;58427;112414;207982;93383;34683;18337;249651;1607;-2949;0,3853;0,5611;0,2605;0,1413;0,2159;-0,0138;0,1247;0,8753;0,0059;0,0564;-0,0175;-0,0142
Hosteleria, Turismo y Ocio;17;75;1775;17;595989;159897;389532;595989;230970;188795;135664;542129;7518;5541;0,8937;3,4846;1,726;0,8773;0,8569;0,0256;0,4693;1,1426;0,0236;0,3657;0,04;0,0191
Servicios a empresas;18;25;1825;7;120950;39300;23876;120950;27266;0;15857;59271;5;-12825;0,3177;0,1182;0,0437;0,1302;0,243;-0,0426;0,1163;0,2881;0;-0,04;-0,0806;-0,1269
Servicios a empresas;18;50;1850;12;357085;123088;130361;357085;83341;20786;106104;155040;1233;1940;0,8897;0,7398;0,3644;0,6657;0,8712;0,007;0,4014;0,5986;0,0061;0,0427;0,0118;0,0104
Servicios a empresas;18;75;1875;18;1021682;399615;513373;1021682;244870;186298;435984;417027;7112;21316;1,8543;2,6077;1,471;2,4336;2,1009;0,0543;0,7119;0,8837;0,0363;0,2146;0,138;0,0921
Alquileres;19;25;1925;10;683392;40779;513593;683392;16774;19342;239099;29348;96;-19762;0,0852;0,0427;0,008;0,4491;0,3744;-0,0145;0,3115;0,0776;0,0014;-0,0207;-0,0427;-0,3853
Alquileres;19;50;1950;16;1653705;157830;1315399;1653705;83099;206460;868359;86889;4895;3279;0,3896;0,3183;0,0518;2,0471;0,8031;0,0029;0,6739;0,3261;0,057;0,0084;0,0079;0,0473
Alquileres;19;75;1975;23;4168041;564008;3403998;4168041;325902;768412;2752210;242139;20961;42227;1,9335;1,4126;0,3279;11,5822;1,0753;0,0246;0,9224;0,6885;0,2369;0,055;0,1306;0,3389
Otros Servicios;20;25;2025;6;73758;19909;24625;73758;24530;0;1670;79104;23;-14083;0,1857;0,0079;0,0025;0,0124;0,0232;-0,0886;0,013;0,3587;0,0001;-0,0346;-0,1144;-0,1078
Otros Servicios;20;50;2050;11;215421;67499;97951;215421;69661;22217;47209;188196;1312;1404;0,5809;0,6138;0,3019;0,4084;0,5271;0,0075;0,2917;0,7083;0,0061;0,0769;0,0111;0,0077
Otros Servicios;20;75;2075;17;685837;235488;375037;685837;196510;139664;255174;488561;6077;18930;1,407;2,6848;1,4027;1,7647;1,377;0,0644;0,6413;0,987;0,0252;0,3195;0,1444;0,0658